"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4529762";"";"None";"416.26";"0";"4.24";"VIIc";"Brc1ccc(-c2nnc(CSc3nnc(-c4ccncc4)o3)o2)cc1";"IC50";"'='";"53.0";"nM";"7.28";"";"";"UO_0000065";"17.48";"0.40";"3.04";"8.02";"0";"CHEMBL4313651";"Inhibition of human recombinant COX-2 by EIA method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4311968";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL314297";"";"None";"360.43";"0";"4.85";"295";"CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3F)CC3(CC3)C2)cc1";"IC50";"'='";"21.88";"nM";"7.66";"";"";"UO_0000065";"21.25";"0.42";"2.81";"22.44";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";""
"CHEMBL350422";"";"None";"354.84";"0";"3.68";"1k";"Cc1nc(-c2ccc(Cl)s2)c(-c2ccc(S(N)(=O)=O)cc2)o1";"IC50";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"21.70";"0.48";"4.02";"8.93";"0";"CHEMBL763088";"In vitro inhibitory activity towards human recombinant Prostaglandin G/H synthase 2 enzyme";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135096";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";""
"CHEMBL330162";"";"None";"488.97";"1";"5.36";"49";"COc1ccc2c(c1)c(CC(=O)NCc1ccc(C(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1";"IC50";"'='";"80.0";"nM";"7.10";"";"";"UO_0000065";"14.51";"0.28";"1.74";"9.17";"0";"CHEMBL762913";"In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (66 nM) using [14C]AA (50 uM) was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133457";"1";"Scientific Literature";"J Med Chem";"2000";"None";""
"CHEMBL155781";"";"None";"412.49";"0";"3.92";"18";"CS(=O)(=O)c1ccc(-c2cnn(CCC3CC3)c(=O)c2-c2ccc(F)cc2)cc1";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"16.24";"0.32";"2.78";"9.70";"0";"CHEMBL763938";"In vitro inhibitory activity against prostaglandin G/H synthase 2 stably transfected in Chinese hamster ovary (CHO) cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136575";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"CHEMBL3308072";""
"CHEMBL464610";"SANGGENON D";"None";"708.72";"4";"6.25";"1";"CC(C)=CCC12Oc3cc(O)ccc3C1(O)Oc1cc(O)c([C@H]3C=C(C)C[C@@H](c4ccc(O)cc4O)[C@@H]3C(=O)c3ccc(O)cc3O)c(O)c1C2=O";"IC50";"'='";"73000.0";"nM";"4.14";"";"";"UO_0000065";"5.84";"0.11";"-2.11";"1.93";"0";"CHEMBL1008495";"Inhibition of COX2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151260";"1";"Scientific Literature";"J Nat Prod";"2005";"None";""
"CHEMBL270886";"";"None";"320.37";"0";"2.10";"34";"COc1ccc(/N=C/c2ccc(S(N)(=O)=O)cc2)cc1OC";"IC50";"'='";"4280.0";"nM";"5.37";"";"";"UO_0000065";"16.76";"0.33";"3.27";"5.90";"0";"CHEMBL932255";"Inhibition of COX2 in human whole blood assessed as effect on LPS-stimulated PGE2 production";"B";"BAO_0000357";"single protein format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141614";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";""
"CHEMBL443819";"";"None";"336.32";"0";"2.01";"15";"CS(=O)(=O)c1ccc(-c2nnnn2-c2ccc(F)c(F)c2)cc1";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL769643";"Inhibitory activity against human recombinant Prostaglandin G/H synthase 2 expressed in microsomes taken from baculovirus infected Sf9 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"Microsomes";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128908";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"CHEMBL3308860";""
"CHEMBL2096829";"";"None";"342.85";"0";"4.51";"(S)-4";"Cc1ccc(-c2ncc(Cl)cc2-c2ccc([S@+](C)[O-])cc2)cn1";"IC50";"'='";"3500.0";"nM";"5.46";"";"";"UO_0000065";"15.91";"0.32";"0.95";"11.17";"0";"CHEMBL863256";"Inhibition of COX2 in human whole blood";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148495";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL364804";"GW-406381";"3.0";"393.47";"0";"3.87";"8";"CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1";"IC50";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"21.66";"0.42";"4.65";"11.59";"1";"CHEMBL833052";"Inhibition of human cyclooxygenase-2 expressed in COS cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138006";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";""
"CHEMBL28913";"";"None";"427.47";"0";"4.24";"1aa";"CSc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1C";"IC50";"'='";"3.7";"nM";"8.43";"";"";"UO_0000065";"19.72";"0.41";"4.19";"10.81";"1";"CHEMBL763093";"In vitro inhibitory concentration required to block human recombinant prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130002";"1";"Scientific Literature";"J Med Chem";"1997";"None";""
"CHEMBL127210";"";"None";"392.38";"0";"4.09";"9";"Cc1cc(=O)c(Oc2ccc(F)c(F)c2)c(-c2ccc(S(C)(=O)=O)cc2)o1";"IC50";"'='";"4429.96";"nM";"5.35";"";"";"UO_0000065";"13.64";"0.27";"1.26";"7.28";"0";"CHEMBL875561";"Inhibitory concentration for Cyclooxygenase-2 (Prostaglandin G/H synthase 2) in human whole blood";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142830";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";""
"CHEMBL1288728";"";"None";"306.67";"0";"3.75";"34b-(s)";"Cc1cc2c(c(C)c1Cl)C=C(C(=O)O)[C@@H](C(F)(F)F)O2";"IC50";"'='";"46.0";"nM";"7.34";"";"";"UO_0000065";"23.93";"0.50";"3.59";"15.77";"0";"CHEMBL1291411";"Inhibition of human COX-2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1287644";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";""
"CHEMBL24944";"TRIBROMSALAN";"4.0";"449.92";"0";"4.93";"TRIBROMSALAN";"O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909131";"DRUGMATRIX: Cyclooxygenase COX-2 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf21";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL4106362";""
"CHEMBL432945";"";"None";"355.46";"0";"3.83";"37";"COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"25.32";"0.49";"5.17";"12.97";"1";"CHEMBL768965";"Inhibitory activity against prostaglandin G/H synthase 2 (COX-2).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129290";"1";"Scientific Literature";"J Med Chem";"1996";"None";""
"CHEMBL43461";"";"None";"370.48";"0";"2.90";"14";"CCc1csc(Sc2cc3c(cc2NS(C)(=O)=O)COC3=O)n1";"IC50";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"21.29";"0.47";"4.99";"9.24";"0";"CHEMBL772071";"Inhibition of human Prostaglandin G/H synthase 2 expressed in CHO (chinese hamster ovary) cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132512";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"CHEMBL3308072";""
"CHEMBL279550";"";"None";"326.48";"1";"5.78";"45";"CC1(C)COc2c(C3CCCC3)cc(C(=O)CCCC3CC3)cc21";"IC50";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"14.39";"0.27";"-1.08";"17.87";"0";"CHEMBL765812";"Inhibition of Prostaglandin G/H synthase 2 (COX-2).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131303";"1";"Scientific Literature";"J Med Chem";"1998";"None";""
"CHEMBL109486";"";"None";"342.46";"0";"4.33";"140";"COCc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1";"IC50";"'='";"6600.0";"nM";"5.18";"";"";"UO_0000065";"15.13";"0.29";"0.85";"11.94";"1";"CHEMBL769653";"Tested for inhibition against Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127401";"1";"Scientific Literature";"J Med Chem";"1994";"None";""
"CHEMBL280471";"";"None";"360.45";"0";"3.78";"11c";"CCONC1=NC(=O)/C(=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)O1";"IC50";"'='";"79000.0";"nM";"4.10";"";"";"UO_0000065";"11.38";"0.22";"0.32";"5.12";"0";"CHEMBL655562";"IC50 against recombinant human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132621";"1";"Scientific Literature";"J Med Chem";"1999";"None";""
"CHEMBL4171339";"";"None";"684.78";"2";"3.54";"15";"COc1ccc(-c2noc(CC(=O)NCCCCCCCCCCC(=O)OC[C@H]3OC(O)[C@H](O)[C@@H](O)[C@H]3O)c2-c2ccc(OC)cc2)cc1";"IC50";"'='";"270.0";"nM";"6.57";"";"";"UO_0000065";"9.59";"0.18";"3.03";"3.46";"0";"CHEMBL4140617";"Inhibition of human COX2 assessed as reduction in appearance of oxidized TMPD using arachidonic acid as substrate by colorimetric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4138130";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";""
"CHEMBL4074825";"";"None";"381.86";"0";"3.86";"27";"Cc1c(C(=O)N2CCN(c3ccccc3)CC2)nc2ccc(Cl)cc2c1O";"IC50";"'='";"1130.0";"nM";"5.95";"";"";"UO_0000065";"15.57";"0.30";"2.09";"10.49";"0";"CHEMBL4004893";"Inhibition of recombinant human COX2 using arachidonic acid as substrate assessed as decrease in PGF2 production preincubated for 15 mins followed by substrate addition measured after 2 mins by enzyme immunoassay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004781";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";""
"CHEMBL3915322";"";"None";"427.53";"0";"3.07";"10";"COc1cc2c(cc1OC)CN(C(=O)CCn1sc3nc(C)cc(C)c3c1=O)CC2";"IC50";"'='";"288403.15";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3869869";"Inhibition of COX-2 (unknown origin) using arachidonic acid as substrate preincubated for 2 mins followed by substrate addition in presence of TMPD by spectrophotometric analysis relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3868617";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";""
"CHEMBL118";"CELECOXIB";"4.0";"381.38";"0";"3.51";"1";"Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1";"IC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"15.43";"0.31";"2.38";"7.55";"0";"CHEMBL917136";"Activity of COX2 in human heparinized blood assessed as inhibition of LPS-induced PGE2 production after 24 hrs";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142971";"1";"Scientific Literature";"J Med Chem";"2007";"None";""
"CHEMBL223619";"";"None";"455.85";"0";"3.32";"11";"CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(OCCO[N+](=O)[O-])c(F)c2)cc1";"IC50";"'='";"6900.0";"nM";"5.16";"";"";"UO_0000065";"11.32";"0.23";"1.84";"4.54";"0";"CHEMBL917136";"Activity of COX2 in human heparinized blood assessed as inhibition of LPS-induced PGE2 production after 24 hrs";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142971";"1";"Scientific Literature";"J Med Chem";"2007";"None";""
"CHEMBL4532877";"";"None";"390.43";"0";"-0.34";"3a";"N#Cc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1NC(=O)CN1CCOCC1";"IC50";"'='";"34.21";"nM";"7.47";"";"";"UO_0000065";"19.12";"0.38";"7.81";"5.21";"0";"CHEMBL4394180";"Inhibition of human recombinant COX-2 assessed as reduction in PGF2alpha formation using arachidonic acid as substrate preincubated with enzyme for 10 mins followed by substrate addition for 30 secs and measured after 1 hr by microplate reader based enzyme immunoassay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393660";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4160157";"";"None";"518.98";"1";"2.30";"14b";"Cc1ccc(S(=O)(=O)NCCOc2nc(Cl)nc(Nc3ccc(N4CCOCC4=O)cc3)n2)cc1";"IC50";"'='";"80000.0";"nM";"4.10";"";"";"UO_0000065";"7.89";"0.16";"1.80";"3.02";"0";"CHEMBL4151937";"Inhibition of human COX2 pre-incubated for 10 mins before arachidonic acid addition and measured after 2 mins by EIA method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4145689";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL122";"ROFECOXIB";"4.0";"314.36";"0";"2.56";"MK 966; Vioxx(R)";"CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1";"IC50";"'='";"26000.0";"nM";"4.58";"";"";"UO_0000065";"14.59";"0.28";"2.03";"7.59";"0";"CHEMBL4394080";"Inhibition of human COX2 expressed in human osteosarcoma cells assessed as reduction in PGE2 release";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393659";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4556356";"";"None";"444.54";"0";"3.48";"7k";"COc1ccccc1N1CCN(CN2C(=O)c3c(c(C)n(-c4ccccc4)c3C)C2=O)CC1";"IC50";"'='";"46400.0";"nM";"4.33";"";"";"UO_0000065";"9.75";"0.18";"0.85";"7.47";"0";"CHEMBL4387552";"Inhibition of COX2 (unknown origin) assessed as suppression of PGG2 conversion to PGH2 incubated fro 2 mins by TMPD based colorimetric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4385655";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";""
"CHEMBL3905241";"";"None";"266.32";"0";"1.94";"15";"Cc1cc(C)c2c(=O)n(CCCC(=O)O)sc2n1";"IC50";"'='";"269153.48";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3869869";"Inhibition of COX-2 (unknown origin) using arachidonic acid as substrate preincubated for 2 mins followed by substrate addition in presence of TMPD by spectrophotometric analysis relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3868617";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";""
"CHEMBL527";"PIROXICAM";"4.0";"331.35";"0";"1.58";"Piroxicam";"CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O";"IC50";"'='";"89125.09";"nM";"4.05";"";"";"UO_0000065";"12.22";"0.24";"2.47";"4.07";"0";"CHEMBL3869869";"Inhibition of COX-2 (unknown origin) using arachidonic acid as substrate preincubated for 2 mins followed by substrate addition in presence of TMPD by spectrophotometric analysis relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3868617";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";""
